day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,keywords_tags,interest_area,registration_category,session_url
"Sunday, 19 July 2026",8:00am,2:00pm,Pathfinders,Pathfinders,West Hall Lobby,,,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess471
"Sunday, 19 July 2026",8:00am,10:00am,Women of SIGGRAPH Conversations (WOSC) Breakfast Mixer,ACM SIGGRAPH 365,Room 409 AB,Kalina Borkiewicz; Mikki Rose; Eveline Falcão; Shanna Alcide; Mikki Rose,Ethics and Society,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_104&sess=sess312
"Sunday, 19 July 2026",9:00am,12:15pm,AI for Creative Visual Content Generation Editing and Understanding (CVEU 2026),Course,Room 408 A,Zheng Wei; Yuying Tang; Mia Tang; Anyi Rao,Art; Computer Vision; Generative AI,Arts & Design; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_194&sess=sess190
"Sunday, 19 July 2026",9:00am,12:15pm,An Introduction to Neural Shading,Course,Room 515 A,Benedikt Bitterli; Chris Cummings; Kai Zhang; Shannon Woods,Artificial Intelligence/Machine Learning; Games; Math Foundations and Theory; Rendering,Gaming & Interactive; New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_279&sess=sess195
"Sunday, 19 July 2026",9:00am,12:15pm,Asiagraphics Workshop on Neural Graphics Processing,Technical Workshop,Room 406 AB,Young J. Kim; Hongbo Fu; Takeo Igarashi; Ligang Liu; Stefanie Zollmann; Lin Gao; Hao (Richard) Zhang; Qixing Huang; Ravi Ramamoorthi; Lingqi Yan,Generative AI; Geometry; Modeling; Rendering,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=twork_110&sess=sess223
"Sunday, 19 July 2026",9:00am,12:15pm,Frontier Workshop: Digital Twins for Science and Industry,Frontiers,Room 501 ABC,Barton Fiske; Tomasz Bednarz; Elizabeth Baron; Andrea Townsend-Nicholson; Dan Isaacs; Jeff Adie; Nicholas Polys; Scott Greenwood,Digital Twins; Physical AI; Robotics; Scientific Visualization; Simulation; Virtual Reality,New Technologies,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=fwork_101&sess=sess242
"Sunday, 19 July 2026",9:00am,12:15pm,Optimal Transport for Fluid Simulation: New and Old,Course,Room 408 B,Bruno Lévy; Cyprien Plateau--Holleville,Geometry; Math Foundations and Theory; Simulation,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_373&sess=sess188
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: 3D & Geometry,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess431
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Animation & Simulation,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess432
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Art & Design,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess445
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Augmented & Virtual Reality,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess434
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Display & Optics,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess435
"Sunday, 19 July 2026",9:00am,5:30pm,"Posters: Images, Video & Computer Vision",Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess436
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Interactive Techniques,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess437
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Rendering,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess438
"Sunday, 19 July 2026",9:00am,10:30am,Rendering and Materials,Talks,Room 403  B,,Art; Computer Vision; Digital Twins; Education; Games; Image Processing; Pipeline Tools and Work; Rendering,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:40am,The Art of Rendering Realism at LAIKA,Talks,Room 403  B,Mitch J. Prater,Digital Twins; Education; Pipeline Tools and Work; Rendering,Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_254&sess=sess178
"Sunday, 19 July 2026",9:40am,10:00am,Eclipsed Bokeh: A Conceptual Model for Defocusing Through Defocused Edges,Talks,Room 403  B,Christopher Berry,Art; Computer Vision; Image Processing; Rendering,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_302&sess=sess178
"Sunday, 19 July 2026",10:00am,10:20am,An Artist-Friendly Albedo Approximation for Transmissive Materials,Talks,Room 403  B,Artem Kryzhanovskyi,Art; Games; Rendering,Arts & Design; Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_140&sess=sess178
"Sunday, 19 July 2026",9:00am,10:30am,Talking About Something Else,Talks,Room 403 A,,Art; Artificial Intelligence/Machine Learning; Audio; Computer Vision; Digital Twins; Education; Fabrication; Games; Generative AI; Geometry; Industry Insight; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:20am,Playable Music at Runtime: Building a Stateful Audio System for Astral Planes,Talks,Room 403 A,Clay Ewing,Art; Audio; Games; Generative AI,Arts & Design; Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_226&sess=sess176
"Sunday, 19 July 2026",9:20am,9:40am,LatentScore: Sketching Soundscapes with LLM-Distilled Retrieval for Procedural Synthesis,Talks,Room 403 A,Prabal Gupta,Artificial Intelligence/Machine Learning; Audio; Games; Generative AI; Industry Insight; Performance; Pipeline Tools and Work; Real-Time,Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_561&sess=sess176
"Sunday, 19 July 2026",9:40am,10:00am,"Knit Everything: Surfaces, Systems, and the Future of Textiles",Talks,Room 403 A,William Samosir,Art; Computer Vision; Digital Twins; Fabrication; Geometry; Modeling; Rendering,Arts & Design; New Technologies,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_488&sess=sess176
"Sunday, 19 July 2026",10:00am,10:20am,Chem2Vid: Translating Chemical Equations into Videos for Chemistry Education via Chemically Constrained Diffusion,Talks,Room 403 A,Baotong Qian; Qian Zhang; Xiaoming Chen; Yongquan Hu,Artificial Intelligence/Machine Learning; Computer Vision; Education; Generative AI,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_336&sess=sess176
"Sunday, 19 July 2026",9:00am,10:30am,Workflows it is,Talks,Petree D,,Animation; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:20am,"Fast, High-Volume Asset Imports and Exports Using Unreal Engine and OpenUSD",Talks,Petree D,Tzung-da Tsai; Darian Wang; Manuel Agost Garcia; Jason Baldwin,Animation; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_239&sess=sess170
"Sunday, 19 July 2026",9:20am,9:40am,Assets in Motion (AIM) - Injecting life into a static and linear asset building process,Talks,Petree D,Hans Heymans; Chris Logan; Brian Cohen,Animation,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_507&sess=sess170
"Sunday, 19 July 2026",9:40am,10:00am,Avatar Aang: The Last Airbender - Strike Force A Hybrid In-House Production Model for a Modern 2D/3D Animated Feature Pipeline,Talks,Petree D,Jerry Huynh; Patrick Kueking; Samantha Steyns; Karyn Buczek Monschein; Vijoy Gaddipati,Animation; Pipeline Tools and Work,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_542&sess=sess170
"Sunday, 19 July 2026",10:00am,10:20am,Production-Driven Data Management for a Service-Based Pipeline,Talks,Petree D,Katie Vinson; Yaash Jain; Oliver Staeubli; Timothy Hoff,Animation; Pipeline Tools and Work,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_392&sess=sess170
"Sunday, 19 July 2026",9:15am,10:15am,ACM SIGGRAPH: Opportunities and Programs for Educators - Part 1,ACM SIGGRAPH 365,Room 404 AB,Glenn Goldman; Richard Lewis; Glenn Goldman; Richard Lewis,Art; Education,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_105&sess=sess276
"Sunday, 19 July 2026",10:00am,10:30am,Beyond the Dot: New Ways to Reduce Motion Sickness in Gaming,Games Summit,411 Theatre,Adrian Ledda; Magalie Rosseeuw; Ewa Trusz,Games,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_381&sess=sess365
"Sunday, 19 July 2026",10:30am,11:30am,ACM SIGGRAPH: Opportunities and Programs for Educators -– Part 2,ACM SIGGRAPH 365,Room 404 AB,Glenn Goldman; Richard Lewis; Glenn Goldman; Richard Lewis,Art; Education,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_106&sess=sess277
"Sunday, 19 July 2026",10:45am,12:15pm,"Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV & Live Events",Panel,Room 403 A,Michael Stein; Lon Grohs; Ryan Mayeda; Markus Hoell; Paul Franklin; Callum Macmillan,Artificial Intelligence/Machine Learning; Computer Vision; Industry Insight; Lighting; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_529&sess=sess252
"Sunday, 19 July 2026",10:45am,12:15pm,Curves for Technical Artists,Course,Room 403  B,Thomas Stevenson,Animation; Math Foundations and Theory,Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_433&sess=sess186
"Sunday, 19 July 2026",10:45am,11:15am,Game Audio Lasagna: Building Layers to Create New Sonic Worlds,Games Summit,411 Theatre,Kole Hicks; Kole Hicks; Emmanuel Lagumbay,Audio; Games,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gam_101&sess=sess364
"Sunday, 19 July 2026",11:00am,12:30pm,NVIDIA Hands-On Lab: Nsight Graphics in Action: Develop and Debug Modern Ray-Tracing Applications,Industry Session,Room 502B,,Games; Rendering,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_109&sess=sess507
"Sunday, 19 July 2026",11:15am,12:15pm,We're All In This Together: The Making Of Disney and Pixar's Hoppers,Production Session,Petree D,Beth Albright; Ian Megibben; Jon Reisch; Andrea Goh; Christina Garcia Weiland; Laurie Kim,Animation; Lighting; Modeling; Rendering; Simulation,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=pros_129&sess=sess158
"Sunday, 19 July 2026",11:30am,12:00pm,‘Battlefield 6’: How We Brought The Franchise Vision To Life With Our Destruction System Debut,Games Summit,411 Theatre,Senlei Deng; Bruno Brito; Rickard Antroia,Art; Games; Performance; Real-Time; Rendering; Simulation,Arts & Design; Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_135&sess=sess366
"Sunday, 19 July 2026",11:45am,12:45pm,DAC & SIGGRAPH 2026 Creative Content Overview,ACM SIGGRAPH 365,Room 404 AB,Rebecca Xu; Victoria Szabo; Rebecca Xu; Everardo Reyes; Vernelle A. A. Noel,Animation; Art; Augmented Reality; Education; Games; Performance; Real-Time; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_102&sess=sess310
"Sunday, 19 July 2026",12:30pm,1:30pm,Animation Theater 1: Open Worlds,Computer Animation Festival; Games Summit,411 Theatre,,Games,Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess328
"Sunday, 19 July 2026",1:00pm,2:30pm,DevOps in Production,Birds of a Feather,Room 513,Marc Salvati,Pipeline Tools and Work,New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_128&sess=sess346
"Sunday, 19 July 2026",1:00pm,2:30pm,"The Connective Tissue: VFX Supervision Across Art, Camera, and Creatures | VES Women Who Lead Series",Birds of a Feather,Room 510,Tara DeMarco,"Animation; Diversity, Equity and Inclusion; Ethics and Society",Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_171&sess=sess429
"Sunday, 19 July 2026",1:45pm,2:15pm,Performance Capture at Scale: Building a Pipeline for Battlefield 6 Cinematics,Games Summit,411 Theatre,Pasha Sol; Pasha Sol,Games,Gaming & Interactive; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gam_102&sess=sess363
"Sunday, 19 July 2026",2:00pm,3:30pm,Between the Frames,Talks,Room 403  B,,Animation; Artificial Intelligence/Machine Learning; Computer Vision; Education; Games; Generative AI; Image Processing; Simulation,Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",2:00pm,2:20pm,Roto-Lite: Transformer-based Automatic Rotoscoping with Splines,Talks,Room 403  B,Sirak Ghebremusse,Artificial Intelligence/Machine Learning; Computer Vision; Generative AI; Image Processing,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_289&sess=sess172
"Sunday, 19 July 2026",2:20pm,2:40pm,Trajectory-Guided Frame Interpolation for Anime-Style Toon Effects,Talks,Room 403  B,Julia Chylak,Animation; Artificial Intelligence/Machine Learning; Generative AI,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_471&sess=sess172
"Sunday, 19 July 2026",2:40pm,3:00pm,Workflow-friendly Anime In-betweening Using Video Generation Models,Talks,Room 403  B,Akinobu Maejima; Sosui Koga; Kazuki Kumagai; Takuya Funatomi; Tatsuo Yotsukura; Yasuhiro Mukaigawa,Animation; Artificial Intelligence/Machine Learning; Generative AI; Image Processing,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_222&sess=sess172
"Sunday, 19 July 2026",3:00pm,3:20pm,In Defense of Euler Angles in Game Programming,Talks,Room 403  B,Matthew Whiting,Education; Games; Simulation,Gaming & Interactive; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_294&sess=sess172
"Sunday, 19 July 2026",2:00pm,3:30pm,"Do it, Right Now!",Talks,Room 408 A,,Art; Artificial Intelligence/Machine Learning; Capture/Scanning; Computer Vision; Games; Generative AI; Performance; Physical AI; Pipeline Tools and Work; Real-Time; Rendering; Robotics; Scientific Visualization; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",2:00pm,2:20pm,Towards a Real-Time Workflow: An All-encompassing Pipeline for Natural History Filmmaking,Talks,Room 408 A,He Sun,Art; Pipeline Tools and Work; Real-Time; Rendering; Virtual Reality,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_104&sess=sess169
"Sunday, 19 July 2026",2:20pm,2:40pm,Simulating Superpowers: From Flailing to Flying in a Controller-Free CAVE,Talks,Room 408 A,Joey Ziolkowski,Games; Spatial Computing; Virtual Reality,Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_282&sess=sess169
"Sunday, 19 July 2026",2:40pm,3:00pm,Behind ReVerie: Sense: Designing Interactive Fulldome Experiences with 3D Generative AI and Robotic Interfaces,Talks,Room 408 A,Pinyao Liu,Art; Artificial Intelligence/Machine Learning; Generative AI; Performance; Physical AI; Robotics,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_406&sess=sess169
"Sunday, 19 July 2026",3:00pm,3:20pm,"Any Representation, Any Hardware, All Interactions: Accelerating Interactive Prototypes Over Cutting Edge AI & 3D Research",Talks,Room 408 A,Maria Shugrina,Artificial Intelligence/Machine Learning; Capture/Scanning; Computer Vision; Generative AI; Pipeline Tools and Work; Scientific Visualization,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_229&sess=sess169
"Sunday, 19 July 2026",2:00pm,5:15pm,Frontier Workshop: Graphics In Medicine: From the Dev Floor to the Operating Room 2,Frontiers,Room 501 ABC,Enoch Omale; Enoch Omale; James Hu; Jacob Alford; Sina Soltanzadeh Zarandi; Brian Lien; Kotaro Tsutsumi; Anthony Le; Kevin Seals,Artificial Intelligence/Machine Learning; Augmented Reality; Capture/Scanning; Computer Vision; Digital Twins; Industry Insight; Real-Time; Robotics; Scientific Visualization; Spatial Computing; Virtual Reality,New Technologies; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=fwork_106&sess=sess243
"Sunday, 19 July 2026",2:00pm,3:30pm,In Conversation with Tyree Dillihay,Computer Animation Festival,Petree D,,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=cafcur_103&sess=sess489
"Sunday, 19 July 2026",2:00pm,5:15pm,"Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics",Technical Workshop,Room 406 AB,Yael Vinker; Mia Tang; Kartik Chandra; Maneesh Agrawala; Judith Fan; Aaron Hertzmann; Barbara Tversky; Aaron Hertzmann; Rubaiat Habib; Scott McCloud,Art; Artificial Intelligence/Machine Learning; Computer Vision; Education; Generative AI; Image Processing; Industry Insight; Rendering; Scientific Visualization,Arts & Design; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=twork_105&sess=sess218
"Sunday, 19 July 2026",2:00pm,2:25pm,NVIDIA Graphics Developer Tools Roadmap: Agentic AI and Beyond (First Offering),Industry Session,Room 502B,,Games; Rendering,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_110&sess=sess508
"Sunday, 19 July 2026",2:00pm,5:15pm,NVIDIA: Beyond 3D: From Real-World Objects to Digital Assets and Physical AI,Course,Room 403 A,Pallavi Mohan; Tomasz Bednarz; Frank Guan; Zoe Ryan,Artificial Intelligence/Machine Learning; Capture/Scanning; Digital Twins; Generative AI; Geometry; Physical AI; Rendering; Scientific Visualization; Simulation,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_483&sess=sess189
"Sunday, 19 July 2026",2:00pm,3:30pm,We Never Go Out of Style,Talks,Room 515 A,,Animation; Art; Industry Insight; Lighting; Pipeline Tools and Work; Rendering,Arts & Design; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",2:00pm,2:20pm,Breathing Life into Illustrations - Building a look for Stylized Compositing,Talks,Room 515 A,Megan Deane; Rebecca J. Lin,Animation; Art; Lighting; Pipeline Tools and Work,Arts & Design; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_420&sess=sess177
"Sunday, 19 July 2026",2:20pm,2:40pm,Coloring Outside the Pipeline: Stylized Pastel Techniques in Disney and Pixar's Toy Story 5,Talks,Room 515 A,Nate Skeen; Peter Demarest; Patrick Yu Wang; Ravindra Dwivedi; Dave Quirus; Max Gilbert; Laura Grieve; Alexander Alvarado,Animation; Art; Lighting; Rendering,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_307&sess=sess177
"Sunday, 19 July 2026",2:40pm,3:00pm,Avatar Aang: The Last Airbender - Hybrid Stylization A Contextual Approach to the Painterly Aesthetic,Talks,Room 515 A,Chris Barischoff; Navneet Rao; Quentin Destais; Jerry Huynh; Guillem Ramisa De Soto,Animation; Art; Industry Insight; Pipeline Tools and Work; Rendering,Arts & Design; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_526&sess=sess177
"Sunday, 19 July 2026",3:00pm,3:20pm,Brushing Up on Illumination: Temporal Coherence in Painterly Compositing in Disney and Pixar’s Hoppers,Talks,Room 515 A,Greg Finch; Jon Reisch; Dan Enstrom; Chia-chi Hu,Animation; Art; Lighting; Pipeline Tools and Work; Rendering,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_417&sess=sess177
"Sunday, 19 July 2026",2:15pm,3:15pm,"Early Career Development: Kickstart a Career in Computer Graphics – Resume, Reel & Industry Insights",ACM SIGGRAPH 365,Room 404 AB,Angela Holm; Angela Holm; Michael Tanzillo; John Foley; Philip Luhn,Education; Industry Insight; Pipeline Tools and Work,Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_117&sess=sess309
"Sunday, 19 July 2026",2:30pm,3:30pm,Forging the Glacier at IO Interactive: Fireside Chat with Henrik Schlichter (Technical Director),Games Summit,411 Theatre,Henrik Schlichter; Henrik Schlichter; John Canning,Games,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gam_104&sess=sess367
"Sunday, 19 July 2026",2:30pm,4:00pm,NVIDIA Hands-On Lab: AI-Assisted Graphics Debugging with Nsight Graphics (First Offering),Industry Session,Room 502B,,Games; Rendering,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience; Discover,https://s2026.conference-schedule.org/?post_type=page&p=15&id=ind_111&sess=sess509
"Sunday, 19 July 2026",3:00pm,4:30pm,Beyond Eyeballing: The Need for Standardized Assessment in AI-Driven Rendering,Birds of a Feather,Room 510,Akshay Jindal; Anton Sochenov,Artificial Intelligence/Machine Learning; Computer Vision; Generative AI; Real-Time; Rendering,Gaming & Interactive; New Technologies,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_139&sess=sess427
"Sunday, 19 July 2026",3:30pm,4:30pm,SIGGRAPH for Beginners - Welcome to the Conference!,ACM SIGGRAPH 365,Room 404 AB,Diana Arellano; Diana Arellano,Animation; Art; Education; Games; Hardware; Scientific Visualization; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_110&sess=sess308
"Sunday, 19 July 2026",3:45pm,5:15pm,An Introduction to Quantum Computing,Course,Room 515 A,Andrew Glassner,Artificial Intelligence/Machine Learning; Computer Vision; Games; Generative AI; Image Processing; Math Foundations and Theory; Simulation,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_211&sess=sess205
"Sunday, 19 July 2026",3:45pm,5:15pm,Don't Do it in Post,Talks,Room 403  B,,Animation; Artificial Intelligence/Machine Learning; Augmented Reality; Capture/Scanning; Computer Vision; Digital Twins; Games; Geometry; Hardware; Image Processing; Performance; Pipeline Tools and Work; Rendering; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",3:45pm,4:05pm,Production-Ready Camera Tracking via LiDAR-Constrained Deep Optical Flow,Talks,Room 403  B,Srdjan Milosevic,Artificial Intelligence/Machine Learning; Computer Vision; Geometry; Image Processing; Pipeline Tools and Work,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_256&sess=sess183
"Sunday, 19 July 2026",4:05pm,4:25pm,On-Set Image-Based Asset Acquisition at LAIKA: The Interface Between Practical and Digital in Hybrid Filmmaking,Talks,Room 403  B,Todd Harvey; Benjamin Gilbert,Animation; Capture/Scanning; Digital Twins; Hardware; Pipeline Tools and Work,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_523&sess=sess183
"Sunday, 19 July 2026",4:25pm,4:45pm,Stage Presence: Design and Testing of a Virtual Rehearsal Room Toolset,Talks,Room 403  B,Kevin Laibson; David Gochfeld; Alex Coulombe,Augmented Reality; Performance; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_323&sess=sess183
"Sunday, 19 July 2026",4:45pm,5:05pm,Modernizing the Glacier Render Architecture for 007 First Light,Talks,Room 403  B,Owen Angell,Games; Rendering,Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensubcur107&sess=sess183
"Sunday, 19 July 2026",3:45pm,5:15pm,Fluid Simulation with the Lattice Boltzmann Method,Course,Room 408 B,Wei Li; Chaoyang Lyu; Mengyun Liu; Yixin Chen; Mathieu Desbrun; Kui Wu; Xiaopei Liu,Dynamics; Games; Simulation,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_311&sess=sess192
