day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,keywords_tags,interest_area,registration_category,session_url
"Tuesday, 21 July 2026",2:00pm,2:10pm,Guidestar-Free Adaptive Optics with Asymmetric Apertures,Technical Paper,Room 408 B,Weiyun Jiang; Haiyun Guo; Christopher A. Metzler; Ashok Veeraraghavan; Weiyun Jiang,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_117&sess=sess147
"Tuesday, 21 July 2026",2:10pm,2:20pm,MAROON: A Dataset for the Joint Characterization of Near-Field High-Resolution Radio-Frequency and Optical Depth Imaging Techniques,Technical Paper,Room 408 B,Vanessa Wirth; Johanna Bräunig; Nikolai Hofmann; Martin Vossiek; Tim Weyrich; Marc Stamminger; Vanessa Wirth,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_122&sess=sess147
"Tuesday, 21 July 2026",2:20pm,2:30pm,Non-line-of-sight imaging with arbitrary relay surface geometries via 3D Gaussian Transient Rendering,Technical Paper,Room 408 B,Yi Wang; Ziyu Zhan; Yuran Wang; Hao Wang; Qiang Liu; Zuoqiang Shi; Lingyun Qiu; Xing Fu,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_803&sess=sess147
"Tuesday, 21 July 2026",2:30pm,2:40pm,Broadband Hyperspectral 3D Imaging using Dispersed Structured Light,Technical Paper,Room 408 B,Suhyun Shin; Yunseong Moon; Ryota Maeda; David Lindell; Kyros Kutulakos; Seung-Hwan Baek,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_463&sess=sess147
"Tuesday, 21 July 2026",2:40pm,2:50pm,GenPIE: A Time-Resolved Plenoptic Imager,Technical Paper,Room 408 B,Ziheng Wang; Siyuan Shen; Huanyu Xu; Kaichun Qiao; Longwen Zhang; Qixuan Zhang; Qilin Sun; Shiying Li; Jingyi Yu,Artificial Intelligence/Machine Learning,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_142&sess=sess147
"Tuesday, 21 July 2026",2:50pm,3:00pm,Policy-based Foveated Imaging and Perception,Technical Paper,Room 408 B,Howard Xiao; Jan Ackermann; Boyang Deng; Gordon Wetzstein,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1502&sess=sess147
"Tuesday, 21 July 2026",3:00pm,3:30pm,Computational Photography - Interactive Discussion,Technical Paper,Room 408 B,,,,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=misc_126&sess=sess147
"Tuesday, 21 July 2026",2:00pm,5:15pm,Efficient 3D Content Creation for Immersive Experiences,Technical Workshop,Room 406 AB,Shaohui Jiao; Yuheng Jiang; Sheng Li; Zhuo Su; Jiaming Sun; Lan Xu; Lan Xu; Jiaming Sun; Shuo Wang; Di Wu,Artificial Intelligence/Machine Learning; Computer Vision; Generative AI; Virtual Reality,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=twork_108&sess=sess221
"Tuesday, 21 July 2026",2:00pm,2:45pm,Global-Scale Photorealism with Google Immersive View XR,Spatial Storytelling,Concourse Hall,Se-Joon Chung; Chun-Po Wang; John Bates; Daniel Filip; Azin Mehrnoosh; Dominik Käser,Performance; Real-Time; Spatial Computing; Virtual Reality,Gaming & Interactive; New Technologies,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_183&sess=sess330
"Tuesday, 21 July 2026",2:00pm,3:30pm,Light Transport,Technical Paper,Room 408 A,,Artificial Intelligence/Machine Learning; Modeling; Rendering; Simulation,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
